genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me3,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k4me1,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,Epi_LevelOne,Epi_LevelTwo,adipose_tissue,adrenal_gland,brain,breast,heart,kidney,ovary,prostate_gland,skeletal_muscle_tissue,thyroid_gland,Exp_LevelOne,Exp_LevelTwo,genebody_LINE,genebody_LTR,genebody_Satellite,genebody_SINE,micropeptide_aa_avg,TSS1k_LINE,TSS1k_LTR,TSS1k_Satellite,TSS1k_SINE,Gen_LevelOne,Gen_LevelTwo,cancer-miRNA_targets,hbm_cancer-protein_degree,hbm_total_degree,miRNA_targets,Net_LevelOne,Net_LevelTwo
1.6510200000000002,2.05402,6.284680000000001,5.77252,12.7655,10.9186,0.9831270000000001,1.0784799999999999,1.93333,1.58046,1.06074,4.39535,1.65593,1.31915,3.11176,0.9741790000000001,0.8888889999999999,4.9892,4.42028,2.19407,2.556184,10.198065,0.11875,0.285,0.2375,0.11875,0.0,0.0,0.095,0.0,0.0,0.095,0.15635425,0.039583349999999996,0,0,0,3,0.0,0,0,0,5,0.2596685085,0.31819562328571427,0,0,113,0,0.3343252222222222,0.10336680000000001
1.19496,1.66947,1.4138,2.44443,5.25684,2.4666099999999997,1.5235299999999998,31.2784,22.3646,16.2002,12.8635,5.06999,8.75248,5.08614,31.3519,12.398,3.47065,3.90171,8.30804,2.6405,9.234396,12.871185,0.0,0.0,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.095,0.0,0.0,6,4,0,8,79.0,0,0,0,0,0.2311460675,0.315421313,0,0,716,0,0.08445584444444441,-0.013095836363636372
0.8222219999999999,1.51627,1.6609200000000002,1.63059,1.15904,1.07692,0.8860290000000001,1.4618,1.5457299999999998,1.38806,1.0752,1.2197799999999999,2.64571,1.56154,1.12331,0.954485,1.2454,1.22079,1.39571,1.36042,1.5906479999999998,3.279815,0.0,0.19,0.2375,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.1484375,0.0,2,0,0,3,25.0,1,0,0,0,0.226941305,0.36790096171428577,0,1,1253,0,0.2411390666666667,0.06884297
1.6087,1.39704,1.37143,2.31185,1.7290599999999998,1.0599,1.59253,0.994898,0.8888889999999999,1.85097,1.37037,1.35269,0.9361700000000001,1.19987,1.5153,1.24017,2.26303,1.215,1.18454,1.37733,1.9684979999999999,1.65634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0475,0.0,0,1,0,1,0.0,0,3,0,1,0.23491655949999998,0.28127839471428573,0,15,5455,0,-0.09642966666666666,0.1076517
0.838951,1.49452,1.2271100000000001,0.84,1.18563,1.6442700000000001,0.8705879999999999,2.04019,1.5933700000000002,1.7181799999999998,0.905149,1.13121,1.30124,1.78755,1.04134,1.7744900000000001,1.81713,1.63917,3.15974,1.8191700000000002,1.454632,1.2417,0.11875,0.38,0.7125,0.0,0.475,0.285,0.095,0.0,0.0,0.285,0.0534375,0.2375,0,2,0,1,73.0,0,3,0,1,0.200389105,0.26299592628571433,0,0,30,0,0.3058982777777778,0.027250042727272727
0.982116,1.6785400000000001,1.56627,2.3381,1.97701,3.79351,0.845714,1.63373,1.21919,2.7218299999999997,1.6444400000000001,1.41221,1.17391,1.20915,1.60365,2.13978,1.60233,1.43401,1.47491,1.44285,2.464738,2.6293800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02375,0.0,2,4,0,12,0.0,0,0,0,3,0.235842372,0.32761976800000003,0,15,5455,0,-0.09642966666666666,0.1076517
0.9961540000000001,1.56364,1.03908,2.2360599999999997,1.13143,1.55793,1.0139,1.56538,1.6037700000000001,1.35055,0.0,1.10351,2.95079,1.4175,1.7209299999999998,1.6762299999999999,1.14526,1.7368299999999999,1.42079,1.51011,2.1750160000000003,1.8536949999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0.0,0,4,0,0,0.0,0.2796272497142857,0,0,0,0,0.0,0.0
1.23333,1.48918,1.3523,1.44986,1.4352200000000002,1.7756,1.3124200000000001,1.37037,0.985707,1.05758,1.18785,0.960942,1.27152,2.1011900000000003,1.64074,1.55666,2.84932,1.32572,1.72665,1.54725,2.0694259999999995,2.58694,0.0,0.0,0.0,0.11875,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0.205530116,0.2569311125714286,0,0,90,0,0.051532555555555554,0.19582629181818187
1.07636,2.1303,1.8712,1.77604,1.47718,1.4736799999999999,0.8705879999999999,1.45226,0.884921,1.73964,1.3581299999999998,1.14228,1.22108,1.41333,1.15625,2.20667,1.40304,1.14198,1.15904,1.32874,1.7927896,2.820385,0.11875,0.19,0.11875,0.11875,0.0,0.0,0.0,0.07916669999999999,0.0,0.095,0.0534375,0.039583349999999996,3,3,0,2,0.0,1,2,0,0,0.2286832945,0.27455343114285713,0,0,10,0,0.38999866666666666,0.2294142090909091
0.932577,2.97392,1.6214600000000001,0.99177,2.5163900000000003,1.5798299999999998,1.2081600000000001,2.0956099999999998,1.98542,1.27053,1.07006,1.40347,1.71166,1.4998799999999999,2.35643,2.1537900000000003,2.41177,1.85,2.0188200000000003,1.7721200000000001,3.2029540000000005,1.8686250000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.2025316455,0.3229871655714286,0,0,0,0,0.0,0.0
