genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me3,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k4me1,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,Epi_LevelOne,Epi_LevelTwo,adipose_tissue,adrenal_gland,brain,breast,colon,heart,kidney,ovary,prostate_gland,skeletal_muscle_tissue,testis,thyroid_gland,Exp_LevelOne,Exp_LevelTwo,genebody_LINE,genebody_LTR,genebody_Satellite,genebody_SINE,micropeptide_aa_avg,TSS1k_LINE,TSS1k_LTR,TSS1k_Satellite,TSS1k_SINE,Gen_LevelOne,Gen_LevelTwo,cancer-miRNA_targets,hbm_cancer-protein_degree,hbm_total_degree,miRNA_targets,Net_LevelOne,Net_LevelTwo
1.8901400000000002,1.96305,1.44277,1.6781599999999999,1.28135,2.05555,0.916667,1.07733,1.04312,1.7249599999999998,1.59771,1.55789,1.06956,1.30226,1.11315,1.7675900000000002,1.41547,1.4207100000000001,8.05691,2.61817,2.552662,2.1244199999999998,0.0,0.0,0.0,0.0,0.35625,0.158333,0.0,0.0,0.0,0.0,0.0,0.0,0.2375,0.0,13,7,0,6,0.0,2,0,0,1,0.1787616275,0.2652888407142857,0,0,68,0,0.0978766811111111,-0.05563718181818182
1.8891799999999999,1.51651,2.09692,1.3230000000000002,0.996527,1.1865299999999999,2.34536,6.9767399999999995,1.0,1.37455,0.986667,1.4191799999999999,1.0702200000000002,1.67793,0.910744,1.18519,2.72905,23.386,3.95775,2.94355,1.7380760000000002,3.6795599999999995,0.0,0.0,0.0,0.11875,0.0,0.0,0.0,0.19,0.07916669999999999,0.0,0.38,0.0,0.15833350000000002,0.0,0,0,0,0,0.0,0,0,0,0,0.273834246,0.4106777664285714,0,1,168,0,-0.10957955555555557,0.12486979272727274
1.14392,1.4532399999999999,1.34792,2.5305299999999997,2.1818,2.06268,0.959259,1.55273,1.26316,2.90452,1.32,1.4924899999999999,1.53865,1.06907,3.3042800000000003,1.8095299999999999,1.79405,1.18682,1.5739,1.33713,1.9398519999999997,1.564513,1.1875,1.9,0.83125,1.1875,0.7125,3.16667,0.95,1.9,0.554167,0.95,0.95,1.9,0.870835,0.7351190000000001,1,3,0,9,0.0,1,4,0,1,0.23890852,0.3483763854285714,5,0,26,6,0.1870371333333333,0.07666654545454546
1.1935200000000001,2.0935799999999998,1.4770299999999998,1.4059,1.06136,1.56192,1.85,0.906122,1.00273,2.2932900000000003,1.22045,1.40476,1.45055,1.73147,2.46667,1.45374,2.0114900000000002,1.24058,5.2914699999999995,1.63085,1.6122660000000004,2.0538100000000004,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0.0,1,0,0,0,0.2000749345,0.2564374904285714,0,0,1038,0,0.19353174444444443,0.00718992727272727
0.925,1.69333,1.6898900000000001,1.89032,1.96632,1.6543299999999999,3.08688,1.81224,0.8888889999999999,1.19515,0.8222219999999999,1.19565,1.06294,2.1453,1.43119,1.59493,2.49246,1.5141,1.8836400000000002,1.63636,3.5213660000000004,4.478619999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0.32485322899999997,0.33733090857142856,0,15,5455,0,-0.09642966666666666,0.1076517
1.06781,2.50774,1.8880700000000001,2.09499,2.6130400000000003,2.97653,0.998726,0.8705879999999999,1.86,1.176,0.939891,1.81595,1.1863299999999999,1.42377,0.999467,1.17547,1.04918,4.72725,1.67914,1.96,1.392503,1.8820169999999998,0.11875,0.19,0.95,0.2375,0.2375,0.0,0.0,0.76,0.158333,0.095,0.57,0.19,0.1425,0.11309505,6,3,6,13,0.0,2,1,0,0,0.24463665199999998,0.29914941957142854,0,1,214,0,0.4370222111111111,0.12264464545454547
0.0,0.0,1.31769,0.0,0.0,0.0,0.0,0.9155209999999999,1.33333,0.0,0.0,0.0,1.0810799999999998,1.1504299999999998,0.0,0.0,0.0,1.05714,1.05714,1.35152,0.57916,1.1042414999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,70.0,0,1,0,0,0.192037013,0.235024044,0,0,0,0,0.0,0.0
0.0,0.0,0.933665,0.0,0.0,0.0,0.0,0.925,1.0,0.0,0.0,0.0,0.8888889999999999,1.19429,0.0,0.0,0.0,1.10107,1.29051,1.04454,0.4381653999999999,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.23636363649999997,0.27295665357142856,0,0,0,0,0.0,0.0
1.09138,1.83525,1.26481,2.6278799999999998,2.38355,3.33005,1.07692,1.2261600000000001,0.8888889999999999,1.71497,0.926845,1.12321,1.03529,1.2027299999999999,1.4615200000000002,2.0567900000000003,1.30609,1.14228,1.4147100000000001,1.35,1.7226655999999998,1.4000645,0.0,0.285,0.11875,0.11875,0.0,0.158333,0.095,0.0,0.0,0.0,0.76,0.095,0.0475,0.039583349999999996,53,35,0,16,95.0,0,0,0,0,0.18443418550000001,0.2744705804285715,0,9,4794,0,0.2950603333333333,0.10438424545454547
2.1821200000000003,2.35906,1.5021200000000001,1.6753200000000001,2.77363,1.83253,1.2733299999999999,1.55789,1.45265,1.5275,0.9144,3.36447,1.5981100000000001,1.0515700000000001,1.9913299999999998,1.5070299999999999,2.0223299999999997,15.6783,3.81966,16.6952,2.647982,2.6062000000000003,0.7125,0.475,1.1875,0.35625,0.11875,0.158333,0.095,0.285,0.475,0.0,0.19,0.095,0.0475,0.5089284999999999,15,10,0,19,0.0,0,1,0,1,0.23184671699999998,0.30017783628571426,0,1,14,0,0.2693779888888888,0.19859945454545455
